Cmi,こいぬ座,アクタイオンが狩りの途中に水浴びをする女神アルテミスの姿を見てしまい怒りに触れたため鹿に変えられ残された猟犬が空に昇り小犬座になった
Tri,さんかく座,神話は伝わっていないがギリシャ文字の⊿に似ているためデルトートンと呼ばれたりナイル川の三角州を表すともされた
Cyg,はくちょう座,ゼウスが恋したスパルタ王妃レダに近づくために化けた姿であり白鳥が去ったのちレダが生んだ2つの卵がふたご座のふたりになったとされる
Del,いるか座,乗船中金に目がくらんだ船員に殺されそうになったアリオンが死ぬ前に一度だけと琴を弾くとどこからともなくいるかの群れが現れアリオンを乗せ助け出した
Cnc,かに座,ヘラクレスを嫌いな女神ヘラが彼を殺そうと戦いの際にかにに足を切らせようとしたところ戦いに夢中だった彼はかにに全く気付かず踏みつぶしてしまった
Crt,こっぷ座,神話は伝わっていないが大きな杯がモデルとなっておりこれは古代ギリシャで使われていたクラーテルという杯であるとされる
Crv,からす座,カラスはアポロンの使いであり真っ白で人の言葉を喋っていたが嘘の告げ口をアポロンにしたため罰として姿を黒くされ人の言葉を喋れないようにされた
Crb,かんむり座,生贄となっていたアリアドナエアは勇者テセウスに恋したものの島に置き去りにされそこに酒神ディオニュソスが現れ黄金のかんむりを送り彼女を王妃にしたとされる
Cep,けふぇうす座,エチオピア王ケフェウスの妻カシオペアはとても自慢好きで娘と海の妖精の美しさを引き比べたため海の神ポセイドンの怒りを買い怪物により国を荒らされた(カシオペヤ座に続く)
Sgr,いて座,いて座はさそり座に弓を向けるケンタウロスであるとされ勇者オリオンを刺殺した蠍が天上で暴れた時にすぐに射殺すことができるようにしているといわれる
Lep,うさぎ座,神話は伝わっていないが気性の激しいオリオンに対して神が優しい心を持つようにと遣わしたがオリオンに踏みつぶされ哀れに思った神が空に上げたといわれる
Lyra,こと座,オルフェウスはなくなった妻を生き返らせるため冥王ハデスに琴を弾きながらお願いしたが現世に帰る途中ハデスとの約束を破り妻は冥界に閉じ込められオルフェウスも絶望し身を投げた
Umi,こぐま座,カリストという娘がゼウスと恋をして二人の間にアルカスという男の子が生まれたがそのことに激怒したゼウスの妻である女神ヘラがカリストを熊にしてしまった(おおぐま座に続く)
Cas,かしおぺや座,(ケフェウス座の続き)神託によるとポセイドンの怒りを鎮めるためには娘を鯨の怪物に生贄として捧げなくてはいけないとされ娘を海岸に鎖で縛り置き去りにした(アンドロメダ座に続く)
Gem,ふたご座,ゼウスとスパルタ王妃の間には兄カストル弟ポルックスの双子がおり兄はレダの血を受けたが弟はゼウスの血を受けたため不死身だった
Ori,おりおん座,オリオンは海神ポセイドンの息子であり父から海を歩く力を与えられ海でも川でも陸と同じように歩くことができた
Her,へらくれす座,ゼウスと王女アルクメーネーの間に生まれた子であり生まれる前からゼウスの妻であったヘラの憎しみを受け様々な妨害をされたが12の冒険を成し遂げ神となったとされる
